                    0                     1
 1.00000000000000e-01  6.07839284945550e+00
 1.00000250000000e-01  6.07839284946225e+00
 1.00000550000000e-01  6.07839284949009e+00
 1.00000910000000e-01  6.07839284954998e+00
 1.00001342000000e-01  6.07839284966133e+00
 1.00001860400000e-01  6.07839284985112e+00
 1.00002482480000e-01  6.07839285015986e+00
 1.00003228976000e-01  6.07839285064743e+00
 1.00004124771200e-01  6.07839285139988e+00
 1.00005199725440e-01  6.07839285254373e+00
 1.00006489670528e-01  6.07839285426203e+00
 1.00008037604634e-01  6.07839285680954e+00
 1.00009895125560e-01  6.07839286054898e+00
 1.00012124150672e-01  6.07839286600335e+00
 1.00014798980807e-01  6.07839287391751e+00
 1.00018008776968e-01  6.07839288534756e+00
 1.00021860532362e-01  6.07839290177816e+00
 1.00026482638834e-01  6.07839292528780e+00
 1.00032029166601e-01  6.07839295876394e+00
 1.00038684999921e-01  6.07839300618138e+00
 1.00046671999906e-01  6.07839307294471e+00
 1.00056256399887e-01  6.07839316631266e+00
 1.00067757679864e-01  6.07839329585442e+00
 1.00081559215837e-01  6.07839347389505e+00
 1.00098121059004e-01  6.07839371586051e+00
 1.00117995270805e-01  6.07839404020930e+00
 1.00141844324966e-01  6.07839446759568e+00
 1.00170463189959e-01  6.07839501890931e+00
 1.00204805827951e-01  6.07839571146153e+00
 1.00246016993541e-01  6.07839655279206e+00
 1.00287861776445e-01  6.07839738662115e+00
 1.00329706549806e-01  6.07839818445122e+00
 1.00371551314035e-01  6.07839894249893e+00
 1.00413396069590e-01  6.07839965416010e+00
 1.00455240816999e-01  6.07840031274283e+00
 1.00497085556871e-01  6.07840091245191e+00
 1.00538930289880e-01  6.07840145227757e+00
 1.00580775016711e-01  6.07840193569015e+00
 1.00622619738009e-01  6.07840236595331e+00
 1.00664464454383e-01  6.07840274517673e+00
 1.00706309166417e-01  6.07840307452451e+00
 1.00748153872724e-01  6.07840335841008e+00
 1.00789998573634e-01  6.07840360305290e+00
 1.00831843270181e-01  6.07840381152097e+00
 1.00873687963412e-01  6.07840398453129e+00
 1.00915532654247e-01  6.07840412169330e+00
 1.00957377343421e-01  6.07840422262738e+00
 1.00999222031559e-01  6.07840428740103e+00
 1.01041066719215e-01  6.07840431674559e+00
 1.01082911406883e-01  6.07840431130216e+00
 1.01124756095066e-01  6.07840426729080e+00
 1.01166600784259e-01  6.07840417793106e+00
 1.01208445474873e-01  6.07840403879768e+00
 1.01250290167225e-01  6.07840384858401e+00
 1.01292134860095e-01  6.07840360961572e+00
 1.01333979552831e-01  6.07840332800940e+00
 1.01375824245647e-01  6.07840301345829e+00
 1.01417668938839e-01  6.07840268000075e+00
 1.01459513632726e-01  6.07840234599747e+00
 1.01501358326396e-01  6.07840203094876e+00
 1.01543203019995e-01  6.07840175246879e+00
 1.01585047713705e-01  6.07840152471733e+00
 1.01626892407806e-01  6.07840135716660e+00
 1.01668737102209e-01  6.07840125385971e+00
 1.01710581796508e-01  6.07840121329007e+00
 1.01752426490833e-01  6.07840122614744e+00
 1.01794271185385e-01  6.07840127419176e+00
 1.01836115880478e-01  6.07840133863214e+00
 1.01877960575872e-01  6.07840140690561e+00
 1.01919805271191e-01  6.07840147192889e+00
 1.01961649966568e-01  6.07840154055665e+00
 1.02003494662223e-01  6.07840162003329e+00
 1.02045339358366e-01  6.07840170728662e+00
 1.02087184054389e-01  6.07840179921237e+00
 1.02129028750397e-01  6.07840189198251e+00
 1.02170873446549e-01  6.07840197857028e+00
 1.02212718143110e-01  6.07840205742946e+00
 1.02254562839876e-01  6.07840213324089e+00
 1.02296407536572e-01  6.07840220670305e+00
 1.02338252233310e-01  6.07840227579816e+00
 1.02380096930283e-01  6.07840233740086e+00
 1.02421941627584e-01  6.07840238974055e+00
 1.02463786324804e-01  6.07840243295726e+00
 1.02505631022032e-01  6.07840246674309e+00
 1.02547475719417e-01  6.07840249218031e+00
 1.02589320417204e-01  6.07840251190080e+00
 1.02631165115157e-01  6.07840252717495e+00
 1.02673009813061e-01  6.07840253872735e+00
 1.02714854511024e-01  6.07840254743784e+00
 1.02756699209231e-01  6.07840255419045e+00
 1.02798543907673e-01  6.07840255955121e+00
 1.02840388606045e-01  6.07840256389633e+00
 1.02882233304437e-01  6.07840256741393e+00
 1.02924078002996e-01  6.07840257018667e+00
 1.02965922701958e-01  6.07840257223313e+00
 1.03007767400946e-01  6.07840257354906e+00
 1.03049612099902e-01  6.07840257412858e+00
 1.03091456798933e-01  6.07840257389998e+00
 1.03133301498222e-01  6.07840257256802e+00
 1.03175146197594e-01  6.07840256974213e+00
 1.03216990896927e-01  6.07840256513972e+00
 1.03258835596312e-01  6.07840255866717e+00
 1.03300680295902e-01  6.07840255044341e+00
 1.03342524995889e-01  6.07840254069198e+00
 1.03384369695795e-01  6.07840252970981e+00
 1.03426214395691e-01  6.07840251782674e+00
 1.03468059095690e-01  6.07840250537089e+00
 1.03509903795982e-01  6.07840249264005e+00
 1.03551748496285e-01  6.07840247988980e+00
 1.03593593196564e-01  6.07840246732598e+00
 1.03635437896911e-01  6.07840245511139e+00
 1.03677282597481e-01  6.07840244336918e+00
 1.03719127298273e-01  6.07840243219806e+00
 1.03760971999008e-01  6.07840242167985e+00
 1.03802816699758e-01  6.07840241195795e+00
 1.03844661400641e-01  6.07840240324071e+00
 1.03886506101829e-01  6.07840239569938e+00
 1.03928350802952e-01  6.07840238944699e+00
 1.03970195504068e-01  6.07840238453923e+00
 1.04012040205272e-01  6.07840238096933e+00
 1.04053884906725e-01  6.07840237867487e+00
 1.04095729608248e-01  6.07840237754367e+00
 1.04137574309744e-01  6.07840237742726e+00
 1.04179419011292e-01  6.07840237805149e+00
 1.04221263713024e-01  6.07840237909749e+00
 1.04263108414966e-01  6.07840238037125e+00
 1.04304953116857e-01  6.07840238177913e+00
 1.04346797818759e-01  6.07840238362566e+00
 1.04388642520772e-01  6.07840238614956e+00
 1.04430487223069e-01  6.07840238917621e+00
 1.04472331925317e-01  6.07840239254535e+00
 1.04514176627554e-01  6.07840239597606e+00
 1.04556021329860e-01  6.07840239937388e+00
 1.04597866032377e-01  6.07840240288220e+00
 1.04639710734957e-01  6.07840240653899e+00
 1.04681555437511e-01  6.07840241030121e+00
 1.04723400140104e-01  6.07840241405838e+00
 1.04765244842852e-01  6.07840241772866e+00
 1.04807089545784e-01  6.07840242128507e+00
 1.04848934248674e-01  6.07840242469638e+00
 1.04890778951575e-01  6.07840242791368e+00
 1.04932623654577e-01  6.07840243087622e+00
 1.04974468357834e-01  6.07840243353171e+00
 1.05016313061059e-01  6.07840243585991e+00
 1.05058157764276e-01  6.07840243785996e+00
 1.05100002467557e-01  6.07840243955972e+00
 1.05141847171028e-01  6.07840244094482e+00
 1.05183691874576e-01  6.07840244204397e+00
 1.05225536578096e-01  6.07840244292295e+00
 1.05267381281648e-01  6.07840244361803e+00
 1.05309225985332e-01  6.07840244414693e+00
 1.05351070689168e-01  6.07840244455859e+00
 1.05392915392964e-01  6.07840244489095e+00
 1.05434760096769e-01  6.07840244516425e+00
 1.05476604800662e-01  6.07840244542238e+00
 1.05518449504782e-01  6.07840244564930e+00
 1.05560294208869e-01  6.07840244582475e+00
